sentence_id	transmit	animals1	animals2	article_link	pmc_id	doi	pdf_sha	pubmed_id	msft_id	transmit_first_index	transmit_last_index	animals1_first_index	animals1_last_index	animals2_first_index	animals2_last_index	sentence_text
11831	dams	passed	nursing pups	https://api.semanticscholar.org/10.1016/b978-0-12-409527-4.00012-2		10.1016/b978-0-12-409527-4.00012-2				22	22	20	20	24	25	Demodicosis Canine demodicosis is caused by Demodex canis , a commensal mite that lives in the hair follicles and is passed from dams to nursing pups .
12412	the mask	transfer	the bare hands of the wearer	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4420971/pdf/	PMC4420971	10.1136/bmjopen-2014-006577		25903751		11	12	8	8	14	19	For example , a contaminated cloth mask may transfer pathogen from the mask to the bare hands of the wearer .
12586	human	spread	human	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3546555/pdf/	PMC3546555	10.1128/mbio.00548-12		23300251		30	30	28	28	32	32	This so-called " virus chatter " was obvious in retrospective studies of SARS-CoV infections in China which showed that isolated cases occurred well before the virus began to spread from human to human during the SARS pandemic ( 8) ( 9 ) ( 10 ) .
15222	farm	traveling	farm	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2744260/pdf/	PMC2744260	10.3201/eid1507.081256		19624933		7	7	5	5	9	9	In addition , rendering trucks traveling from farm to farm might have encouraged widespread transmission of the disease .
18664	one person	passes	another	https://api.semanticscholar.org/10.1016/b978-0-12-800947-5.00005-3		10.1016/b978-0-12-800947-5.00005-3				10	11	7	7	13	13	In comparison to droplet spread , which passes directly from one person to another , airborne transmission of viruses carried by dust or aerosolized particles that remain suspended in the air for long periods of time are considered indirect modes of transmission ( see Section 5.3 for a review of droplets vs aerosolized particles ) .
19760	an infected host	spread	a susceptible host	https://api.semanticscholar.org/10.1016/b978-0-12-800947-5.00005-3		10.1016/b978-0-12-800947-5.00005-3				13	15	11	11	17	19	In order to persist within a population , a virus must spread from an infected host to a susceptible host .
23158	soil	transferred	vegetables	https://api.semanticscholar.org/10.1016/b978-0-12-385007-2.00003-6		10.1016/b978-0-12-385007-2.00003-6				1	1	8	8	10	10	From soil , the bacteria can also be transferred to vegetables that enter the food chain , including internalization in salad leaves through the vascular root system after irrigation with contaminated water ( Chitarra et al. , 2014 ) ( see Chapter 12 ) .
23658	an aqueous environment	transfer	a palmitoyl-oleoyl-phosphatidyl choline interface	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4945073/pdf/	PMC4945073	10.1371/journal.pntd.0004799		27414047		71	73	66	66	75	78	Interestingly , inhibitory peptides derived from membrane proximal regions ( or stem regions ) of diverse fusion proteins such as those of RVFV , DV2 , SARS-coronavirus , Influenza virus , and Hepatitis C virus have been found likely to interact with membrane interfaces by a hydropathy segment [ 74 ] , which is predicted by the Wimley-White interfacial hydrophobicity scale ( WWIHS ) for the transfer of a peptide from an aqueous environment to a palmitoyl-oleoyl-phosphatidyl choline interface [ 75 , 76 ] .
24231	an effector cell	transfer	a target cell	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4945073/pdf/	PMC4945073	10.1371/journal.pntd.0004799		27414047		12	14	5	5	16	18	In this assay , the transfer of monosialotetrahexosylganglioside ( GM1 ) from an effector cell to a target cell was measured as described before for SNARE proteins [ 63 ] .
24530	infected male animals	transferred	females	https://api.semanticscholar.org/10.1016/b978-0-12-380920-9.00023-7		10.1016/b978-0-12-380920-9.00023-7				5	7	3	3	9	9	Infection can be transferred from infected male animals to females during sexual intercourse and vertically from dam to pups ( Padilla-Carlin et al. , 2008 ; Miyairi et al. , 2010 ) .
