sentence_id	transmit	animals1	animals2	article_link	pmc_id	doi	pdf_sha	pubmed_id	msft_id	transmit_first_index	transmit_last_index	animals1_first_index	animals1_last_index	animals2_first_index	animals2_last_index	sentence_text	paragraph_text
25883	transmitted	person	person	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7134961/pdf/	PMC7134961	10.1016/j.tmrv.2006.03.001		16787826		8	8	10	10	12	12	9 Human influenza is extremely contagious and is transmitted from person to person , usually by the airborne route .	According to the most recent report from the World Health Organization (WHO), influenza A(H1N1), A(H3N2), and B viruses cocirculated and caused outbreaks worldwide between September 2004 and August 2005. Although most of the outbreaks (regional or widespread) were associated with influenza A(H3N2) viruses, influenza B viruses circulated widely and caused outbreaks in some countries in Africa, Asia, eastern Europe, Oceania, and South America. Influenza A(H1) viruses circulated to a lesser extent and caused outbreaks in a few countries in Africa, central Asia, and eastern Europe. 9 Human influenza is extremely contagious and is transmitted from person to person, usually by the airborne route. In nursing homes, up to 60% of patients can develop disease. Infected persons are most contagious during the period of peak symptoms. The attack rate in children is 14% to 40% yearly and more than 30% in preschool age children. Children frequently infect their families. In the United States, annual averages of 94 735 (range, 18 908-193 561) primary and 133 900 (30 757-271 529) bany listed pneumonia and influenza hospitalizationsQ were associated with influenza virus infections. Annual averages of 226 054 (54 523-430 960) primary and 294 128 (86 494-544 909) bany listed respiratory and circulatory hospitalizationsQ were associated with influenza virus infections. Significant numbers of influenzaassociated hospitalizations in the United States occur among the elderly, and the numbers of these hospitalizations have increased substantially over the last 2 decades due in part to the aging of the population. Influenza-associated hospitali-zation rates increased annually from 1979-1980 to 2000-2001 among persons aged 50 through 85 years and older. 10 Influenza and pneumonia comprise the sixth leading cause of death in the United States overall and the fifth leading cause among adults 65 years and older. In the 1990s, influenza-related deaths increased to about 36 000 per year. The number of deaths can increase to 40 000 during epidemics. 11 In economically developed countries, mortality increases distinctly during winter months. A study analyzed monthly the mortality in the United States during the period 1959 to 1999 for 4 major disease classes. The authors isolated the seasonal component of mortality by removing trends and standardizing the time series. Peak months of mortality for ischemic heart disease, cerebrovascular disease, and diabetes mellitus coincided appropriately with peaks in pneumonia and influenza. The magnitude of the seasonal component was highly correlated with traditional measures of excess mortality and was significantly larger in seasons dominated by influenza A(H2N2) and A(H3N2) viruses than in seasons dominated by A(H1N1) or B viruses. There was an age shift in mortality during and after the 1968 or 1969 pandemic in each disease class, with features specific to influenza A(H3N2). These findings suggest that the cause of the winter increase in US mortality is singular and probably influenza. Weather and other factors may determine the timing and modulate the magnitude of the winter-season increase in mortality, but the primary determinant appears to be the influenza virus. 12 Observational studies reported that influenza vaccination reduces winter mortality risk from any cause by 50% among the elderly. A study by Simonsen et al 13 could not correlate increasing vaccination coverage after 1980 with declining mortality rates in any age group. They showed that for people aged 65 to 74 years, excess mortality rates in A(H3N2)-dominated seasons fell between 1968 and the early 1980s but remained approximately constant thereafter. For persons 85 years or older, the mortality rate remained flat throughout. Excess mortality in A(H1N1) and B seasons did not change. All-cause excess mortality for persons 65 years or older never exceeded 10% of all winter deaths. The authors attributed the decline in influenza-related mortality among people aged 65 to 74 years in the decade after the 1968 pandemic to the acquisition of immunity to the emerging A(H3N2) virus. They concluded that observational studies substantially overestimate vaccination benefit. 13 The study has provoked starkly different reactions and certainly indicates that there is room for improvement of influenza vaccines. 14 A statement by CDC and National Institutes of Health clarifies that the Simonsen study in no way implies that the elderly should not receive influenza vaccine. Rather, the study concludes that the vaccine may prevent fewer deaths among the elderly than previous studies would have suggested. Vaccination remains the best available protection from influenza for people 65 years and older. It may be beneficial to vaccinate larger numbers of healthy persons, including children, to prevent transmission of influenza viruses to high-risk persons such as the elderly (CDC. Available at: www.cdc.gov/flu/).
26675	transmitted	person	person	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7189856/pdf/	PMC7189856	10.1016/j.jcv.2020.104396		32438256		6	6	8	8	10	10	SARS-CoV-2 has been testified to be transmitted from person to person in community or hospital [ 8 ] .	Furthermore, homology modeling revealed that SARS-CoV-2 might be able to combine with human angiotensin-converting enzyme 2, which is identical to the characteristic of SARS-CoV [6, 7]. SARS-CoV-2 has been testified to be transmitted from person to person in community or hospital [8] . The estimated median incubation period is 5.1 days, while, under conservative assumptions, 101 of every 10,000 cases would develop symptoms after 14-day active monitoring or isolation [9] . Common symptoms at the onset of illness included fever, cough, and myalgia or fatigue; less common symptoms were sputum production, headache, hemoptysis, and diarrhea [10] . Likewise, as for Severe Acute Respiratory Syndrome (SARS) and Middle East Respiratory Disease (MERS), both of which are coronavirus-associated pneumonia, almost all patients suffer from fever at diagnosis [11] . of false negatives [14, 15] . If patients are released based on false-negative results of this test, the consequences could be disastrous. Therefore, in this review, we focus on early radiology or laboratory examinations and diagnoses of coronavirus pneumonia that would help confirm the infection of SARS-CoV, MERS-CoV, or SARS-CoV-2.
42186	travelled	April	Middle East	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128695/pdf/	PMC7128695	10.1016/s2213-2600(15)00238-6		26050550		10	10	29	29	13	14	The patient was a man aged 68 years who had travelled to the Middle East ( Bahrain , United Arab Emirates , Saudi Arabia , and Qatar ) from April 18 , to May 3 , 2015 , and developed symptoms on his return to South Korea on May 11 , 2015 .	The recent report1 of the first case of the Middle East respiratory syndrome (MERS) coronavirus infection from Seoul, South Korea, on May 20, 2015, has attracted global media attention. The patient was a man aged 68 years who had travelled to the Middle East (Bahrain, United Arab Emirates, Saudi Arabia, and Qatar) from April 18, to May 3, 2015, and developed symptoms on his return to South Korea on May 11, 2015. This case could have passed unnoticed, since individual cases of MERS have been reported from all continents without major subsequent secondary spread. However, the subsequent major outbreak in Seoul, with 30 MERS cases (two deaths) reported as of June 3, is the largest case cluster of MERS outside the Middle East and a major cause for concern. This outbreak gives us an opportunity to reflect on progress on global efforts being made to control MERS coronavirus since it was first detected in a patient who had died from a severe respiratory illness in June, 2012, in Jeddah, Saudi Arabia.2
42186	travelled	April	Bahrain	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128695/pdf/	PMC7128695	10.1016/s2213-2600(15)00238-6		26050550		10	10	29	29	16	16	The patient was a man aged 68 years who had travelled to the Middle East ( Bahrain , United Arab Emirates , Saudi Arabia , and Qatar ) from April 18 , to May 3 , 2015 , and developed symptoms on his return to South Korea on May 11 , 2015 .	The recent report1 of the first case of the Middle East respiratory syndrome (MERS) coronavirus infection from Seoul, South Korea, on May 20, 2015, has attracted global media attention. The patient was a man aged 68 years who had travelled to the Middle East (Bahrain, United Arab Emirates, Saudi Arabia, and Qatar) from April 18, to May 3, 2015, and developed symptoms on his return to South Korea on May 11, 2015. This case could have passed unnoticed, since individual cases of MERS have been reported from all continents without major subsequent secondary spread. However, the subsequent major outbreak in Seoul, with 30 MERS cases (two deaths) reported as of June 3, is the largest case cluster of MERS outside the Middle East and a major cause for concern. This outbreak gives us an opportunity to reflect on progress on global efforts being made to control MERS coronavirus since it was first detected in a patient who had died from a severe respiratory illness in June, 2012, in Jeddah, Saudi Arabia.2
42186	travelled	April	United Arab Emirates	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128695/pdf/	PMC7128695	10.1016/s2213-2600(15)00238-6		26050550		10	10	29	29	18	20	The patient was a man aged 68 years who had travelled to the Middle East ( Bahrain , United Arab Emirates , Saudi Arabia , and Qatar ) from April 18 , to May 3 , 2015 , and developed symptoms on his return to South Korea on May 11 , 2015 .	The recent report1 of the first case of the Middle East respiratory syndrome (MERS) coronavirus infection from Seoul, South Korea, on May 20, 2015, has attracted global media attention. The patient was a man aged 68 years who had travelled to the Middle East (Bahrain, United Arab Emirates, Saudi Arabia, and Qatar) from April 18, to May 3, 2015, and developed symptoms on his return to South Korea on May 11, 2015. This case could have passed unnoticed, since individual cases of MERS have been reported from all continents without major subsequent secondary spread. However, the subsequent major outbreak in Seoul, with 30 MERS cases (two deaths) reported as of June 3, is the largest case cluster of MERS outside the Middle East and a major cause for concern. This outbreak gives us an opportunity to reflect on progress on global efforts being made to control MERS coronavirus since it was first detected in a patient who had died from a severe respiratory illness in June, 2012, in Jeddah, Saudi Arabia.2
42186	travelled	April	Saudi Arabia	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128695/pdf/	PMC7128695	10.1016/s2213-2600(15)00238-6		26050550		10	10	29	29	22	23	The patient was a man aged 68 years who had travelled to the Middle East ( Bahrain , United Arab Emirates , Saudi Arabia , and Qatar ) from April 18 , to May 3 , 2015 , and developed symptoms on his return to South Korea on May 11 , 2015 .	The recent report1 of the first case of the Middle East respiratory syndrome (MERS) coronavirus infection from Seoul, South Korea, on May 20, 2015, has attracted global media attention. The patient was a man aged 68 years who had travelled to the Middle East (Bahrain, United Arab Emirates, Saudi Arabia, and Qatar) from April 18, to May 3, 2015, and developed symptoms on his return to South Korea on May 11, 2015. This case could have passed unnoticed, since individual cases of MERS have been reported from all continents without major subsequent secondary spread. However, the subsequent major outbreak in Seoul, with 30 MERS cases (two deaths) reported as of June 3, is the largest case cluster of MERS outside the Middle East and a major cause for concern. This outbreak gives us an opportunity to reflect on progress on global efforts being made to control MERS coronavirus since it was first detected in a patient who had died from a severe respiratory illness in June, 2012, in Jeddah, Saudi Arabia.2
42186	travelled	April	Qatar	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128695/pdf/	PMC7128695	10.1016/s2213-2600(15)00238-6		26050550		10	10	29	29	26	26	The patient was a man aged 68 years who had travelled to the Middle East ( Bahrain , United Arab Emirates , Saudi Arabia , and Qatar ) from April 18 , to May 3 , 2015 , and developed symptoms on his return to South Korea on May 11 , 2015 .	The recent report1 of the first case of the Middle East respiratory syndrome (MERS) coronavirus infection from Seoul, South Korea, on May 20, 2015, has attracted global media attention. The patient was a man aged 68 years who had travelled to the Middle East (Bahrain, United Arab Emirates, Saudi Arabia, and Qatar) from April 18, to May 3, 2015, and developed symptoms on his return to South Korea on May 11, 2015. This case could have passed unnoticed, since individual cases of MERS have been reported from all continents without major subsequent secondary spread. However, the subsequent major outbreak in Seoul, with 30 MERS cases (two deaths) reported as of June 3, is the largest case cluster of MERS outside the Middle East and a major cause for concern. This outbreak gives us an opportunity to reflect on progress on global efforts being made to control MERS coronavirus since it was first detected in a patient who had died from a severe respiratory illness in June, 2012, in Jeddah, Saudi Arabia.2
42194	travel	Seoul	Hong Kong	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128695/pdf/	PMC7128695	10.1016/s2213-2600(15)00238-6		26050550		42	42	46	46	48	49	Inadequate implementation of a quarantine protocol and poor public health surveillance seem to have allowed a business trip to be made by a symptomatic man aged 44 years , who was in close contact with the index patient , which consisted of travel by air from Seoul to Hong Kong on May 26 , 2015 , and then by bus from Hong Kong to Huizhou in southern China .	This outbreak includes at least 27 secondary cases and two tertiary cases (family members of the index case, other patients who were in the same ward and their family members, and health-care workers who had attended the index patient). Inadequate implementation of a quarantine protocol and poor public health surveillance seem to have allowed a business trip to be made by a symptomatic man aged 44 years, who was in close contact with the index patient, which consisted of travel by air from Seoul to Hong Kong on May 26, 2015, and then by bus from Hong Kong to Huizhou in southern China. He was subsequently confirmed to have MERS coronavirus infection on May 29, 2015, in Huizhou, leading to intensive contact tracing by local public health authorities and panic in the communities in mainland China and Hong Kong.3
47192	transfer	E2	Nedd4	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7103382/pdf/	PMC7103382	10.1016/j.chom.2009.05.012		19527883		11	11	16	16	18	18	ISG15 blocks the interaction of Nedd4 with its E2 , preventing transfer of ubiquitin from the E2 to Nedd4 ( Malakhova and Zhang , 2008 ) .	ISG15 plays a role in resistance to Ebola virus (also VSV and rabies virus) by blocking the activity of Nedd4 via ISGylation (reviewed in Sadler and Williams, 2008) . ISG15 blocks the interaction of Nedd4 with its E2, preventing transfer of ubiquitin from the E2 to Nedd4 (Malakhova and Zhang, 2008) . The ubiquitination of HIV-1 Gag and Tsg101 and Nedd4 are necessary for virion budding and release from the cell surface as discussed earlier. Type I IFN inhibits the assembly and release of HIV-1 virions. This occurs through the IFN-induced expression of ISG15, which inhibits the ubiquitination of Gag and Tsg101, preventing the interaction of the Gag L domain with Tsg101 . However, ISG15 is not itself conjugated to Gag or Tsg101. Ubiquitination of Gag by the Nedd4 ubiquitin ligase is necessary for the release of virions. Overexpression of ISG15 effectively decreases the ability of Nedd4 to ubiquitinate the viral matrix proteins (VP40), thereby decreasing release of Ebola virus-like particles (VLPs) from cells (Okumura et al., 2008) . Other Ubiquitin-like Modifiers: Urm-1 The role of ubiquitin-like modifiers is no longer confined to the modification of proteins and lipids. A recent series of papers describes an unexpected role for ubiquitin-related molecule-1 (Urm-1) in transfer RNA (tRNA) modification (Schlieker et al., 2008; Leidel et al., 2009; Noma et al., 2009) . Though only distantly related to ubiquitin, Urm-1 has the typical b-grasp fold that characterizes members of the ubiquitin family (Singh et al., 2005) and also possesses the typical diglycine motif at the C terminus of the mature polypeptide, common to ubiquitin and ubiquitinlike modifiers. The occurrence of proteins covalently modified by Urm-1 (''urmylation'') has been reported (Furukawa et al., 2000) , but thus far appears to be limited to a single protein of known identity, alkyl hydroperoxide reductase (Ahp1), in yeast (Goehring et al., 2003) . Whether urmylation of proteins is a widespread modification, and if so, under which conditions (stress, growth conditions, and virus infection) remain open questions. Urm-1 serves as a sulfur carrier essential for thiolation of certain tRNAs [(UUU) Lys; (UUC) Glu; and (UUG) Gln], which carry a thiolated uridine residue in the wobble position of the anticodon (Schlieker et al., 2008; Leidel et al., 2009; Noma et al., 2009) . Urm-1 can be isolated from mammalian cells as a C-terminal thiocarboxylate that is the immediate precursor for a sulfur transfer reaction involving a persulfidic intermediate (Schlieker et al., 2008) . In the absence of Urm-1, yeast cells can no longer carry out the requisite thiolation reaction and become sensitive to a variety of stresses (Pedrioli et al., 2008) . The mechanistic link between a failure to execute thiolation and the increased sensi-tivity to stress observed in Urm-deficient cells is not yet understood. For example, it is not clear how tRNAs that fail to undergo thiolation affect translational efficiency, fidelity, or the half-lives of the tRNAs themselves. A number of plant viruses, including brome mosaic virus, possess tRNA-like structures at the 3 0 end of their genomes. These structures are suffciently similar to tRNAs to serve as substrates for aminoacyl tRNA synthetases and other enzymes that act on tRNAs (Dreher, 2009) . The mouse gammaherpesvirus MHV-68 encodes at least eight tRNA-like sequences that can be processed into mature uncharged tRNAs, the function of which in the context of the virus life cycle is obscure. Clearly, viruses have co-opted tRNAs and tRNA-like structures to initiate replication, as is well established for retroviruses (reviewed in Abbink and Berkhout, 2008) , presumably for reasons that increase fitness, but we still lack an adequate mechanistic explanation. Given the relationship between Urm-1 and specific tRNA modifications, it is perhaps reasonable to suggest that aspects of translational control and fidelity, as well as virus replication itself, may be modified in a manner that involves Urm-1, although for the moment this remains pure speculation.
61732	transmitted	person	person	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7134961/pdf/	PMC7134961	10.1016/j.tmrv.2006.03.001		16787826		45	45	47	47	49	49	If more humans become infected over time , the likelihood also increases that humans , if concurrently infected with human and avian influ-enza strains , could serve as the bmixing vesselQ for the emergence of a novel subtype with sufficient human genes to be easily transmitted from person to person .	A key feature of a potentially pandemic influenza virus is its ability to spread efficiently from infected to noninfected hosts (ie, its transmissibility). The molecular basis of influenza virus transmissibility remains unresolved. 15 Like the 1918 virus, H5N1 influenza has unusually high virulence. Although the 2 viruses differ in their transmissibility among humans, there is concern that currently circulating H5N1 viruses will evolve into a pandemic strain by adapting to humans through genetic mutation or reassortment with human influenza strains. Fortunately, there has been no direct evidence of efficient poultryto-human or human-to-human transmission to date. 16 Nevertheless, probable person-to-person transmission of avian influenza A(H5N1) was reported. The index patient was an 11-year-old girl who lived with her aunt. She became ill 3 to 4 days after her last exposure to dying household chickens. Her mother came from a distant city to care for her in the hospital, had no recognized exposure to poultry, and died from pneumonia after providing 16 to 18 hours of unprotected nursing care. The aunt also provided unprotected nursing care; she had fever 5 days after the mother first had fever, followed by pneumonia 7 days later. Autopsy tissue from the mother and nasopharyngeal and throat swabs from the aunt were positive for influenza A(H5N1) by reverse transcriptase polymerase chain reaction. No additional chains of transmission were identified, and sequencing of the viral genes identified no change in the receptorbinding site of hemagglutinin or other key features of the virus. The sequences of all 8 viral gene segments clustered closely with other H5N1 sequences from recent avian isolates in Thailand. It was concluded that the disease in the mother and aunt probably resulted from person-to-person transmission of this lethal avian influenza virus during unprotected exposure to the critically ill index patient. 17, 18 However, a study from Vietnam showed a lack of H5N1 avian influenza transmission to hospital employees. 19 The incubation period in the reported cases seemed to be 2 to 4 days, similar to that in cases of human influenza, followed in most patients by fever, cough, and dyspnea. Diarrhea was variably reported, and sore throat and runny nose were noted in some of the patients. A striking feature was marked lymphopenia in those patients who were severely ill. Unlike cases of human influenza, in the H5N1 avian virus cases, primary viral pneumonia was common, whereas secondary bacterial pneumonia has not been reported. 20 An epidemic of avian influenza A(H7N7) occurred in The Netherlands in 2003, which affected 255 flocks and led to the culling of 30 million birds. To evaluate the effectiveness of the control measures, a study quantified between-flock transmission characteristics of the virus in 2 affected areas. The control measures markedly reduced the transmission of the virus. The study suggests that the containment of the epidemic was probably due to the reduction in the number of susceptible flocks by complete depopulation of the infected areas rather than to the reduction of the transmission by the other control measures. 21 A recent report described the occurrence of infection with the virus in household contacts of human index cases, in the absence of contact with infected poultry, suggesting human-to-human transmission of the virus during the 2003 poultry epidemic. 22, 23 In 2004, an outbreak of highly pathogenic avian influenza A(H7N3) occurred in poultry in British Columbia, Canada. Surveillance identified 2 persons with confirmed avian influenza infection. Symptoms included conjunctivitis and mild influenza-like illness. 24 Why is H5N1 of particular concern? Of the avian influenza virus subtypes, H5N1 is of particular concern for several reasons. It mutates rapidly and has a known propensity to acquire genes from viruses infecting other animal species. Its ability to cause severe disease in humans has now been documented. In addition, laboratory studies have demonstrated that isolates of this virus have a high pathogenicity and can cause severe disease in humans. Birds that survive infection excrete virus for at least 10 days, orally and in feces, thus, facilitating further spread at live poultry markets and by migratory birds. H5N1 variants demonstrated a capacity to directly infect humans in 1997, and have done so again in Vietnam and other countries since 2003. The spread of infection in birds increases the opportunities for direct infection of humans. If more humans become infected over time, the likelihood also increases that humans, if concurrently infected with human and avian influ-enza strains, could serve as the bmixing vesselQ for the emergence of a novel subtype with sufficient human genes to be easily transmitted from person to person. Such an event would mark the start of an influenza pandemic. 2 The last century saw pandemic influenza viruses belonging to 3 subtypes (H1, H2, and H3) , and indirect evidence suggests that H3 viruses were circulating from 1889 to 1918 and that H1 viruses were possibly prevalent before 1889. If this series of events over the last hundred years reflects a pattern, recycling of subtypes would be the norm in the human population, and the possibility for the emergence of new pandemics would be limited. On the other hand, if any subtype is able to thrive in the human population, a greater number of possibilities for novel pandemic strains would exist. Although H5N1 avian viruses were shown to cause death in humans, none of these strains were easily transmitted from human to human. Also, none of the H5N1 strains showed evidence of having acquired genes from circulating human influenza viruses. Whether this is a necessary requirement for a pandemic strain to be successful is not known. It would seem probable that such a reassortment event between an avian and a human influenza virus could have happened many times over, either in humans or in animals. It may be possible that infections of humans by avian influenza viruses have been ongoing for decades, and it is only the reporting that has improved in recent years. If this were the case, the present emphasis on the imminent pandemic outbreak would not be justified. 25 However, the precursor of the severe acute respiratory syndrome (SARS)-associated coronavirus has been shown to have repeatedly crossed species barriers, probably for many years, before it finally acquired the capacity for human-to-human transmission, and its pathogenicity to humans was not attenuated. 26 Because the H5N1 virus continues to evolve and spread, with additional human infections occurring in many countries, we cannot afford simply to hope that human-to-human spread of the virus does not happen, and that if it does, the pathogenicity of the virus will attenuate. 8 What is warranted and where there is little or no disagreement among scientists is a continued surveillance of influenza viruses. Stockpiling of antiviral drugs and the development of new vaccines are highly recommended to be better prepared for a potential pandemic outbreak. 25 Recent advances in recombinant technologies have shown the possibility of constructing premade libraries of vaccine strains, so that adequate preparations can be made for epidemics and pandemics. 27 Cross-protection against multiple influenza A subtypes can be induced in animals by prior infection or vaccination. Multiple viral antigens and multiple immune effector mechanisms can participate. Mucosal vaccination induces different immune responses than systemic vaccination and is more effective at inducing broad cross-protection to multiple influenza A subtypes in animals. Broad cross-protection in humans is of unclear potency and duration, but epidemiological data suggest that it may have an impact. A variety of vaccines may induce broad cross-protection if administered appropriately. Imperfect vaccine protection is worth having, especially for a virus causing an acute (not latent) infection. It could provide a first line of pandemic defense to be augmented by subtype-or strain-specific vaccines when available. 28 More recent articles also reviewed and discussed the development of cross-protective vaccines. [29] [30] [31] [32] Both adamantanes (amantadine and rimantadine) and neuraminidase inhibitors (oseltamivir and zanamivir) were believed to be effective against a pandemic virus, although emergence of resistance has apparently occurred with adamantanes, and the more recent type A(H5N1) virus as well as some currently circulating seasonal viruses are not susceptible to this drug class. 30 A recent study showed that stockpiles of neuraminidase inhibitors that cover 20% to 25% of the population would be sufficient to treat most of the clinical cases and could lead to 50% to 77% reduction in hospitalizations. 33 Another study indicated that current stockpiling of oseltamivir appears to be cost saving under several treatment strategies, including therapeutic treatment of patients and postexposure prophylactic treatment of patients' close contacts. 34 In addition, antimicrobial agents can help control secondary bacterial infections, which could have been the cause of death among many patients during the 1918 pandemic. 6 In view of the threat of a potentially serious influenza pandemic, many governments have drafted pandemic influenza preparedness and response plans. The US draft plan was posted in August 2004. The plan stressed the need for improved measures to safeguard the public. In particular, steps need to be taken in the areas of surveillance, vaccine development and production, antiviral stockpiling, research, and public health preparedness. A key part of the plan is to establish public safety measures and coordination with state and local levels. 35 The formal plan was launched by the Department of Health and Human Services (Washington, DC) in November 2005 (www.dhhs. gov/pandemicflu/plan/). On April 1, 2005, the US government issued a directive allowing authorities to detain or isolate any passenger suspected of having avian influenza when arriving in the United States aboard an international flight. Under the directive, the Health and Human Services Department is given legal authority to detain or isolate any passenger suspected of having avian influenza to prevent the person from infecting others (Reuters, April 1, 2005) .
